route_long_name,route_type,route_text_color,route_color,agency_id,route_id,route_url,route_desc,route_short_name,ObjectId
City Centre / Exhibition,3,0,FF8000,,14631,https://transit.saskatoon.ca/sites/default/files/documents/Routes/Individual_Routes/route_1_2022_0.pdf,,1,1
Meadowgreen / City Centre,3,0,FF8000,,14632,https://transit.saskatoon.ca/sites/default/files/documents/Routes/Individual_Routes/route_2_10_2022_0.pdf,,2,2
City Centre / Hudson Bay Park,3,0,FF8000,,14633,https://transit.saskatoon.ca/sites/default/files/documents/Routes/Individual_Routes/route_3_2022.pdf,,3,3
City Centre,3,0,000080,,14634,https://transit.saskatoon.ca/sites/default/files/documents/Routes/Individual_Routes/route_4_2022_0.pdf,,4,4
City Centre / Confederation,3,0,FF8000,,14635,https://transit.saskatoon.ca/sites/default/files/documents/Routes/Individual_Routes/route_5_2022.pdf,,5,5
Wilson Cres / City Centre,3,0,FF8000,,14636,https://transit.saskatoon.ca/sites/default/files/documents/Routes/Individual_Routes/route_6_2022.pdf,,6,6
Dundonald / City Centre,3,0,FF8000,,14637,https://transit.saskatoon.ca/sites/default/files/documents/Routes/Individual_Routes/route_7_2022.pdf,,7,7
8th Street / City Centre,3,0,000080,,14638,https://transit.saskatoon.ca/sites/default/files/documents/Routes/Individual_Routes/route_8_2022_0.pdf,,8,8
Riversdale / City Centre,3,0,FF8000,,14639,https://transit.saskatoon.ca/sites/default/files/documents/Routes/Individual_Routes/route_9_2022.pdf,,9,9
Centre Mall / University,3,0,FF8000,,14640,,,10,10
Airport / City Centre,3,0,FF8000,,14641,https://transit.saskatoon.ca/sites/default/files/documents/Routes/Individual_Routes/route_11_2022_0.pdf,,11,11
River Heights / City Centre,3,0,FF8000,,14642,https://transit.saskatoon.ca/sites/default/files/documents/Routes/Individual_Routes/route_12_2022.pdf,,12,12
North Industrial / City Centre,3,0,FF8000,,14643,https://transit.saskatoon.ca/sites/default/files/documents/Routes/Individual_Routes/route_14_2022.pdf,,14,13
City Centre / Civic Op Centre,3,0,FF8000,,14644,https://transit.saskatoon.ca/sites/default/files/documents/Routes/Individual_Routes/route_15_2020.pdf,,15,14
Eastview / City Centre,3,0,FF8000,,14645,https://transit.saskatoon.ca/sites/default/files/documents/Routes/Individual_Routes/route_16_2023.pdf,,16,15
Stonebridge / Lawson,3,0,000080,,14646,https://transit.saskatoon.ca/sites/default/files/documents/Routes/Individual_Routes/route_17_2022.pdf,,17,16
College Park / University,3,0,FF8000,,14647,https://transit.saskatoon.ca/sites/default/files/documents/Routes/Individual_Routes/route_18_2022_0.pdf,,18,17
City Centre / Centre Mall,3,0,FF8000,,14648,https://transit.saskatoon.ca/sites/default/files/documents/Routes/Individual_Routes/route_19_2022.pdf,,19,18
