block_id,bikes_allowed,route_id,wheelchair_accessible,direction_id,trip_headsign,shape_id,service_id,trip_id,trip_short_name,ObjectId
72745,0,14631,0,0,City Centre,96842,1,1507057,,1
72745,0,14631,0,0,Stonebridge,96844,1,1507058,,2
72742,0,14631,0,0,Stonebridge,96844,1,1507059,,3
72742,0,14631,0,0,City Centre,96842,1,1507060,,4
72740,0,14631,0,0,City Centre,96842,1,1507061,,5
72740,0,14631,0,0,Stonebridge,96844,1,1507062,,6
72743,0,14631,0,0,City Centre,96842,1,1507063,,7
72743,0,14631,0,0,Stonebridge,96844,1,1507064,,8
72745,0,14631,0,0,City Centre,96842,1,1507065,,9
72745,0,14631,0,0,Stonebridge,96844,1,1507066,,10
72742,0,14631,0,0,City Centre,96842,1,1507067,,11
72742,0,14631,0,0,Stonebridge,96844,1,1507068,,12
72740,0,14631,0,0,Stonebridge,96844,1,1507069,,13
72740,0,14631,0,0,City Centre,96842,1,1507070,,14
72743,0,14631,0,0,City Centre,96842,1,1507071,,15
72743,0,14631,0,0,Stonebridge,96844,1,1507072,,16
72745,0,14631,0,0,City Centre,96842,1,1507073,,17
72745,0,14631,0,0,Stonebridge,96844,1,1507074,,18
72742,0,14631,0,0,City Centre,96842,1,1507075,,19
72742,0,14631,0,0,Stonebridge,96844,1,1507076,,20
72740,0,14631,0,0,City Centre,96842,1,1507077,,21
72740,0,14631,0,0,Stonebridge,96844,1,1507078,,22
72743,0,14631,0,0,City Centre,96842,1,1507079,,23
72743,0,14631,0,0,Stonebridge,96844,1,1507080,,24
72745,0,14631,0,0,Stonebridge,96844,1,1507081,,25
72745,0,14631,0,0,City Centre,96842,1,1507082,,26
72742,0,14631,0,0,Stonebridge,96844,1,1507083,,27
72742,0,14631,0,0,City Centre,96842,1,1507084,,28
72740,0,14631,0,0,City Centre,96842,1,1507085,,29
72740,0,14631,0,0,Stonebridge,96844,1,1507086,,30
72743,0,14631,0,0,City Centre,96842,1,1507087,,31
72743,0,14631,0,0,Stonebridge,96844,1,1507088,,32
72741,0,14631,0,0,Stonebridge,96844,1,1507089,,33
72741,0,14631,0,0,City Centre,96842,1,1507090,,34
72742,0,14631,0,0,City Centre,96842,1,1507091,,35
72742,0,14631,0,0,Stonebridge,96844,1,1507092,,36
72740,0,14631,0,0,Stonebridge,96844,1,1507093,,37
72740,0,14631,0,0,City Centre,96842,1,1507094,,38
72743,0,14631,0,0,Stonebridge,96844,1,1507095,,39
72743,0,14631,0,0,City Centre,96842,1,1507096,,40
72741,0,14631,0,0,Stonebridge,96844,1,1507097,,41
72741,0,14631,0,0,City Centre,96842,1,1507098,,42
72744,0,14631,0,0,City Centre,96842,1,1507099,,43
72742,0,14631,0,0,City Centre,96842,1,1507100,,44
72742,0,14631,0,0,Stonebridge,96844,1,1507101,,45
72740,0,14631,0,0,City Centre,96842,1,1507102,,46
72740,0,14631,0,0,Stonebridge,96844,1,1507103,,47
72743,0,14631,0,0,Stonebridge,96844,1,1507104,,48
72743,0,14631,0,0,City Centre,96842,1,1507105,,49
72741,0,14631,0,0,City Centre,96842,1,1507106,,50
72784,0,14634,0,1,City Centre,96861,1,1507689,,51
72783,0,14634,0,1,City Centre,96861,1,1507688,,52
72782,0,14634,0,1,City Centre,96861,1,1507701,,53
72781,0,14634,0,1,City Centre,96861,1,1507691,,54
72778,0,14634,0,1,City Centre,96861,1,1507692,,55
72780,0,14634,0,1,City Centre,96861,1,1507693,,56
72779,0,14634,0,1,City Centre,96861,1,1507694,,57
72786,0,14634,0,1,City Centre,96861,1,1507695,,58
72785,0,14634,0,1,City Centre,96861,1,1507702,,59
72777,0,14634,0,1,City Centre,96861,1,1507703,,60
72784,0,14634,0,1,City Centre,96861,1,1507704,,61
72783,0,14634,0,1,City Centre,96861,1,1507705,,62
72782,0,14634,0,1,City Centre,96861,1,1507706,,63
72781,0,14634,0,1,City Centre,96861,1,1507707,,64
72778,0,14634,0,1,City Centre,96861,1,1507708,,65
72780,0,14634,0,1,City Centre,96861,1,1507714,,66
72779,0,14634,0,1,City Centre,96861,1,1507709,,67
72786,0,14634,0,1,City Centre,96861,1,1507710,,68
72785,0,14634,0,1,City Centre,96861,1,1507711,,69
72777,0,14634,0,1,City Centre,96861,1,1507712,,70
72784,0,14634,0,1,City Centre,96861,1,1507713,,71
72783,0,14634,0,1,City Centre,96861,1,1507715,,72
72782,0,14634,0,1,City Centre,96861,1,1507716,,73
72781,0,14634,0,1,City Centre,96861,1,1507717,,74
